rgb,set1Arm,set1NotArm,set1Prediction,set2Arm,set2NotArm,set2Prediction,set3Arm,set3NotArm,set3Prediction,set4Arm,set4NotArm,set4Prediction,set5Arm,set5NotArm,set5Prediction,set6Arm,set6NotArm,set6Prediction,set7Arm,set7NotArm,set7Prediction,totalArm,totalNotArm,totalPrediction
2-9-10,1,0,1,0,0,1,0,2,0,2,2,1,2,0,1,4,3,1,5,1,1,14,8,1
37-28-2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0
31-43-47,0,1,0,0,0,1,1,26,0,0,0,1,1,1,1,0,0,1,1,1,1,3,29,0
2-3-8,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1
19-26-34,3,0,1,5,0,1,7,2,1,4,3,1,6,0,1,1,0,1,3,2,1,29,7,1
18-24-30,0,0,1,1,1,1,3,4,0,4,5,0,6,17,0,7,0,1,4,13,0,25,40,0
24-37-44,22,0,1,67,2,1,16,1,1,47,0,1,58,4,1,17,0,1,27,4,1,254,11,1
43-28-2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
12-15-20,1,0,1,2,2,1,7,1,1,0,0,1,2,1,1,0,0,1,0,0,1,12,4,1
4-17-25,3,0,1,5,0,1,0,0,1,2,0,1,1,0,1,1,0,1,3,0,1,15,0,1
22-27-38,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
21-27-23,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
17-25-25,0,8,0,0,15,0,0,18,0,0,2,0,0,3,0,2,7,0,0,1,0,2,54,0
9-19-27,10,0,1,20,0,1,15,0,1,18,0,1,10,1,1,9,0,1,23,0,1,105,1,1
10-14-10,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,2,1
28-37-39,0,3,0,0,28,0,5,14,0,0,1,0,1,0,1,0,1,0,0,4,0,6,51,0
33-30-29,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,0,4,0
38-45-52,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,3,3,1
31-44-46,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
13-16-23,3,2,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,6,3,1
28-40-48,22,6,1,68,0,1,80,4,1,47,16,1,63,7,1,18,0,1,29,4,1,327,37,1
30-31-36,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,1
18-24-21,0,10,0,0,0,1,0,5,0,0,0,1,1,0,1,0,0,1,0,2,0,1,17,0
42-43-46,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0
11-21-34,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,0,0,1,0,0,1,5,0,1
16-23-25,2,5,0,0,24,0,2,79,0,0,13,0,0,23,0,0,121,0,2,54,0,6,319,0
11-21-21,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2,0
40-53-61,0,4,0,0,0,1,0,5,0,0,21,0,0,70,0,1,0,1,0,9,0,1,109,0
30-19-2,0,1,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,5,0
36-36-35,5,92,0,33,895,0,1,409,0,9,82,0,0,36,0,0,1024,0,0,74,0,48,2612,0
3-14-25,0,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,0,1
42-40-42,0,21,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,28,0
34-49-56,0,0,1,0,2,0,0,2,0,0,2,0,0,3,0,0,0,1,0,0,1,0,9,0
31-38-44,3,2,1,1,0,1,4,0,1,8,0,1,7,1,1,1,2,0,2,0,1,26,5,1
27-33-43,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,2,0,1
36-33-31,0,0,1,0,0,1,0,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,6,0
20-19-17,5,0,1,1,0,1,5,2,1,0,0,1,0,0,1,2,3,0,3,0,1,16,5,1
7-9-10,46,16,1,111,14,1,213,43,1,139,6,1,313,11,1,72,6,1,117,8,1,1011,104,1
38-47-50,0,0,1,0,0,1,0,1,0,1,0,1,0,5,0,0,1,0,0,1,0,1,8,0
41-45-50,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
34-24-1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
31-45-54,53,1,1,3,0,1,41,0,1,15,2,1,71,21,1,12,0,1,26,2,1,221,26,1
39-36-35,0,2,0,0,0,1,0,41,0,0,6,0,0,10,0,0,4,0,0,0,1,0,63,0
15-15-18,3,2,1,1,0,1,4,0,1,1,0,1,2,0,1,0,0,1,0,0,1,11,2,1
32-39-46,1,1,1,0,0,1,2,1,1,1,3,0,3,0,1,0,0,1,1,0,1,8,5,1
27-29-28,0,1,0,2,4,0,4,1,1,0,0,1,3,1,1,1,5,0,0,9,0,10,21,0
41-29-4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3,0
19-20-13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
14-13-15,1,0,1,1,0,1,8,0,1,6,0,1,4,0,1,0,1,0,0,0,1,20,1,1
49-56-61,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1
19-32-41,56,0,1,34,0,1,44,0,1,24,7,1,49,2,1,23,0,1,38,3,1,268,12,1
15-29-33,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
7-18-31,0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,2,0,1
1-8-8,0,0,1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,1,0,1,0,3,2,1
15-18-25,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,4,0,1
27-21-11,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
16-25-25,0,2,0,0,2,0,0,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,11,0
24-32-40,7,0,1,7,0,1,10,0,1,3,2,1,7,3,1,2,1,1,5,5,1,41,11,1
40-37-38,0,34,0,0,10,0,0,36,0,0,16,0,0,12,0,0,4,0,0,0,1,0,112,0
37-37-36,2,276,0,21,1165,0,0,772,0,11,139,0,5,60,0,0,1247,0,0,59,0,39,3718,0
37-26-9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
25-23-21,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,17,0,0,6,0,2,23,0
35-25-3,0,2,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5,0
13-10-12,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
48-36-4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
16-23-21,0,12,0,0,5,0,0,8,0,0,0,1,0,0,1,0,0,1,0,2,0,0,27,0
31-33-36,0,0,1,6,3,1,5,4,1,2,2,1,1,1,1,1,6,0,1,5,0,16,21,0
20-26-25,0,23,0,0,50,0,0,66,0,0,1,0,2,19,0,0,0,1,0,6,0,2,165,0
19-20-19,5,4,1,9,4,1,12,1,1,9,0,1,13,1,1,2,1,1,6,1,1,56,12,1
3-12-20,23,0,1,9,0,1,6,0,1,22,0,1,7,0,1,3,0,1,2,1,1,72,1,1
35-42-49,0,0,1,0,0,1,0,0,1,0,1,0,2,0,1,0,0,1,0,0,1,2,1,1
18-19-15,0,2,0,0,2,0,0,0,1,1,0,1,0,0,1,20,0,1,0,0,1,21,4,1
50-54-55,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
28-17-4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
33-30-32,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,4,0
34-50-55,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
30-44-51,18,0,1,17,0,1,22,0,1,30,2,1,52,3,1,1,0,1,2,0,1,142,5,1
40-47-50,0,0,1,1,0,1,0,7,0,0,0,1,0,14,0,0,0,1,0,1,0,1,22,0
10-14-21,4,0,1,1,0,1,12,1,1,1,0,1,15,0,1,0,0,1,8,1,1,41,2,1
38-30-6,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0
34-45-46,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,0,1,0,1,1,6,0
41-46-50,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
20-26-36,0,0,1,0,0,1,3,0,1,0,0,1,1,0,1,0,0,1,0,0,1,4,0,1
24-42-53,0,0,1,1,0,1,27,0,1,2,0,1,1,0,1,11,0,1,6,0,1,48,0,1
24-32-31,0,4,0,0,9,0,0,22,0,0,0,1,0,7,0,0,1,0,0,5,0,0,48,0
29-26-18,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
3-5-8,38,1,1,51,2,1,173,3,1,165,52,1,112,8,1,27,3,1,17,5,1,583,74,1
36-38-35,0,3,0,0,46,0,0,5,0,0,2,0,0,2,0,0,60,0,0,0,1,0,118,0
32-43-53,1,0,1,0,1,0,3,0,1,4,2,1,0,1,0,2,0,1,0,2,0,10,6,1
45-44-43,0,0,1,0,0,1,0,1,0,0,0,1,0,115,0,0,0,1,0,1,0,0,117,0
8-17-29,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,2,0,1
21-32-41,40,0,1,30,0,1,51,0,1,41,3,1,31,2,1,9,0,1,24,3,1,226,8,1
36-46-49,0,0,1,0,1,0,0,13,0,0,2,0,0,4,0,0,0,1,0,1,0,0,21,0
9-17-19,3,1,1,3,1,1,28,6,1,14,6,1,9,5,1,4,1,1,9,10,0,70,30,1
33-25-6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0
24-39-49,11,0,1,20,0,1,28,0,1,27,0,1,19,0,1,11,0,1,10,0,1,126,0,1
10-17-20,12,4,1,7,13,0,45,19,1,53,20,1,150,22,1,13,34,0,22,21,1,302,133,1
35-30-8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
29-42-45,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0
45-50-53,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
36-27-10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
44-29-4,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
5-13-22,17,0,1,11,0,1,11,0,1,34,0,1,10,1,1,4,0,1,7,0,1,94,1,1
23-39-45,1,0,1,0,0,1,7,0,1,3,0,1,3,0,1,0,0,1,1,0,1,15,0,1
54-57-57,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
32-30-27,0,0,1,0,0,1,0,3,0,0,0,1,0,0,1,0,132,0,0,7,0,0,142,0
25-19-10,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
12-13-20,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,4,0,1
21-27-30,3,10,0,2,29,0,6,81,0,1,4,0,0,11,0,3,98,0,1,9,0,16,242,0
7-16-19,2,0,1,4,0,1,4,2,1,4,1,1,11,2,1,6,0,1,0,0,1,31,5,1
17-20-18,4,4,1,1,5,0,0,4,0,1,0,1,0,0,1,4,1,1,0,1,0,10,15,0
11-29-39,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
38-29-11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
4-1-1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0
36-50-60,5,4,1,0,8,0,0,17,0,1,19,0,0,8,0,0,4,0,0,23,0,6,83,0
47-57-61,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
31-42-42,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1-3-3,130,5,1,81,1,1,485,66,1,671,127,1,273,48,1,106,19,1,49,14,1,1795,280,1
36-34-36,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0,5,0
24-37-50,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,2,0
59-63-62,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1
9-19-32,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,0,1
44-36-11,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
32-45-52,6,0,1,2,4,0,6,7,0,11,1,1,10,4,1,0,0,1,2,3,0,37,19,1
12-24-36,0,0,1,3,0,1,2,0,1,1,0,1,1,0,1,2,0,1,0,0,1,9,0,1
26-42-50,21,0,1,36,0,1,29,0,1,64,0,1,93,0,1,45,0,1,45,1,1,333,1,1
17-20-21,0,4,0,4,3,1,4,8,0,1,0,1,2,0,1,2,1,1,2,1,1,15,17,0
39-38-36,0,891,0,15,1097,0,0,5381,0,18,993,0,6,2152,0,0,514,0,0,104,0,39,11132,0
30-29-29,0,3,0,1,1,1,4,7,0,3,0,1,3,1,1,0,9,0,0,55,0,11,76,0
